"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-24","14:30:09.3186597",6703.83,"1 Nov 24 6760 C BTO 0.07",-0.07,1,-8.175,6705.12,"2025-11-24","16:15:02.3294753",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-24","14:30:09.3186597",6703.83,"1 Nov 24 6715 C STO 1.92",1.92,1,190.825,6705.12,"2025-11-24","16:15:02.2771579",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-20","13:00:14.2766461",6586.96,"1 Nov 20 6745 C BTO 0.65",-0.65,1,-66.175,6538.76,"2025-11-20","16:15:02.3945482",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-20","13:00:14.2766461",6586.96,"1 Nov 20 6700 C STO 1.75",1.75,1,173.825,6538.76,"2025-11-20","16:15:02.4023008",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-19","14:45:09.2347048",6613.27,"1 Nov 19 6685 C BTO 0.15",-0.15,1,-6.784999999999999,6629.92,"2025-11-19","14:55:01.7823476",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-19","14:45:09.2347048",6613.27,"1 Nov 19 6640 C STO 1.85",1.85,1,-216.785,6629.92,"2025-11-19","14:55:02.3679546",-4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-19","14:30:09.1346099",6613.94,"1 Nov 19 6640 C STO 2.22",2.22,1,-259.78499999999997,6629.92,"2025-11-19","14:55:02.0711817",-4.8,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-19","14:30:09.1346099",6613.94,"1 Nov 19 6685 C BTO 0.07",-0.07,1,6.214999999999999,6629.92,"2025-11-19","14:55:01.7827105",0.15,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-18","14:30:13.8420558",6645.42,"1 Nov 18 6720 C BTO 0.12",-0.12,1,1.2149999999999999,6662.13,"2025-11-18","14:40:01.8389403",0.15,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-18","14:30:13.8420558",6645.42,"1 Nov 18 6675 C STO 2.22",2.22,1,-249.785,6662.13,"2025-11-18","14:40:02.2469568",-4.7,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","14:45:09.3042169",6661.79,"1 Nov 17 6690 C STO 2.02",2.02,1,200.825,6672.41,"2025-11-17","16:15:02.1931507",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","14:45:09.3042169",6661.79,"1 Nov 17 6735 C BTO 0.12",-0.12,1,-13.175,6672.41,"2025-11-17","16:15:02.1921816",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","14:30:10.7168689",6674.78,"1 Nov 17 6705 C STO 1.92",1.92,1,190.825,6672.41,"2025-11-17","16:15:02.1526385",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","14:30:10.7168689",6674.78,"1 Nov 17 6750 C BTO 0.12",-0.12,1,-13.175,6672.41,"2025-11-17","16:15:02.2068644",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","13:00:09.5340519",6709.15,"1 Nov 17 6745 C STO 1.77",1.77,1,175.825,6672.41,"2025-11-17","16:15:02.1892236",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-17","13:00:09.5340519",6709.15,"1 Nov 17 6790 C BTO 0.12",-0.12,1,-13.175,6672.41,"2025-11-17","16:15:02.1986108",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-14","13:00:13.6743849",6758.28,"1 Nov 14 6795 C STO 1.57",1.57,1,155.825,6734.11,"2025-11-14","16:15:02.4207783",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-14","13:00:13.6743849",6758.28,"1 Nov 14 6840 C BTO 0.12",-0.12,1,-13.175,6734.11,"2025-11-14","16:15:02.3742606",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-13","13:00:13.9321464",6760.66,"1 Nov 13 6850 C BTO 0.22",-0.22,1,-23.175,6737.49,"2025-11-13","16:15:02.1053892",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-13","13:00:13.9321464",6760.66,"1 Nov 13 6805 C STO 1.92",1.92,1,190.825,6737.49,"2025-11-13","16:15:02.1825248",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-12","14:45:09.2848241",6848.79,"1 Nov 12 6860 C STO 1.80",1.8,1,-191.785,6858.05,"2025-11-12","15:34:02.5278859",-3.7,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-12","14:45:09.2848241",6848.79,"1 Nov 12 6905 C BTO 0.05",-0.05,1,-6.175,6850.92,"2025-11-12","16:15:02.5526424",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-12","14:30:08.9096664",6847.09,"1 Nov 12 6905 C BTO 0.05",-0.05,1,-6.175,6850.92,"2025-11-12","16:15:02.5526424",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-12","14:30:08.9096664",6847.09,"1 Nov 12 6860 C STO 1.75",1.75,1,-206.78499999999997,6858.05,"2025-11-12","15:34:02.5648895",-3.8,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-05","14:45:14.7415539",6823.99,"1 Nov 5 6830 C STO 1.60",1.6,1,158.825,6796.29,"2025-11-05","16:15:02.7584368",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-05","14:45:14.7415539",6823.99,"1 Nov 5 6875 C BTO 0.05",-0.05,1,-6.175,6796.29,"2025-11-05","16:15:02.6004849",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-05","14:30:09.4087687",6823.3,"1 Nov 5 6875 C BTO 0.07",-0.07,1,-8.175,6796.29,"2025-11-05","16:15:02.3649283",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-05","14:30:09.4087687",6823.3,"1 Nov 5 6830 C STO 1.92",1.92,1,190.825,6796.29,"2025-11-05","16:15:02.6481081",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-04","14:45:18.7443984",6769.25,"1 Nov 4 6830 C BTO 0.07",-0.07,1,-3.7850000000000006,6779.6,"2025-11-04","15:18:02.0602441",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-04","14:45:18.7443984",6769.25,"1 Nov 4 6785 C STO 1.82",1.82,1,-199.78499999999997,6779.94,"2025-11-04","15:15:02.2029878",-3.8,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-04","13:00:18.7216952",6780.78,"1 Nov 4 6805 C STO 2.12",2.12,1,210.825,6771.55,"2025-11-04","16:15:02.5875505",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-04","13:00:18.7216952",6780.78,"1 Nov 4 6850 C BTO 0.07",-0.07,1,-8.175,6771.55,"2025-11-04","16:15:02.4141893",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-03","14:45:09.3893004",6852.65,"1 Nov 3 6905 C BTO 0.05",-0.05,1,-6.175,6851.97,"2025-11-03","16:15:02.2314133",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-03","14:45:09.3893004",6852.65,"1 Nov 3 6860 C STO 1.95",1.95,1,193.825,6851.97,"2025-11-03","16:15:02.173756",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-03","14:30:08.295256",6853.71,"1 Nov 3 6865 C STO 1.32",1.32,1,130.825,6851.97,"2025-11-03","16:15:02.3259059",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-03","14:30:08.295256",6853.71,"1 Nov 3 6910 C BTO 0.07",-0.07,1,-8.175,6851.97,"2025-11-03","16:15:02.2071361",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-31","13:00:09.6942324",6825.06,"1 Oct 31 6905 C BTO 0.12",-0.12,1,-8.785,6855.31,"2025-10-31","15:21:03.3664047",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-31","13:00:09.6942324",6825.06,"1 Oct 31 6860 C STO 2.17",2.17,1,-244.78499999999997,6855.31,"2025-10-31","15:21:03.9029751",-4.6,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-30","14:45:14.2942878",6846.87,"1 Oct 30 6910 C BTO 0.05",-0.05,1,-6.175,6822.34,"2025-10-30","16:15:02.5046527",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-30","14:45:14.2942878",6846.87,"1 Oct 30 6865 C STO 1.80",1.8,1,178.825,6822.34,"2025-10-30","16:15:02.5450218",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-30","14:30:09.1693277",6852.02,"1 Oct 30 6870 C STO 2.22",2.22,1,220.82500000000002,6822.34,"2025-10-30","16:15:02.5494834",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-30","14:30:09.1693277",6852.02,"1 Oct 30 6915 C BTO 0.07",-0.07,1,-8.175,6822.34,"2025-10-30","16:15:02.5076999",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-29","14:45:09.78674",6855.99,"1 Oct 29 6950 C BTO 0.30",-0.3,1,3.214999999999999,6880.43,"2025-10-29","14:52:01.8378368",0.35,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-29","14:45:09.78674",6855.99,"1 Oct 29 6905 C STO 2.10",2.1,1,-261.785,6880.43,"2025-10-29","14:52:02.0729642",-4.7,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-29","14:30:14.0391062",6902.59,"1 Oct 29 6990 C BTO 0.25",-0.25,1,-26.175,6890.59,"2025-10-29","16:15:02.0355879",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-29","14:30:14.0391062",6902.59,"1 Oct 29 6945 C STO 1.80",1.8,1,178.825,6890.59,"2025-10-29","16:15:02.1967284",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-24","14:45:29.9135508",6802.81,"1 Oct 24 6850 C BTO 0.07",-0.07,1,-8.175,6791.69,"2025-10-24","16:15:02.541311",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-24","14:45:29.9135508",6802.81,"1 Oct 24 6805 C STO 2.42",2.42,1,240.825,6791.69,"2025-10-24","16:15:02.4803019",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-22","13:00:14.0439809",6694.39,"1 Oct 22 6725 C STO 1.77",1.77,1,175.825,6699.4,"2025-10-22","16:15:01.6274082",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-22","13:00:14.0439809",6694.39,"1 Oct 22 6770 C BTO 0.07",-0.07,1,-8.175,6699.4,"2025-10-22","16:15:01.6272464",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-21","14:45:08.9373784",6740.94,"1 Oct 21 6745 C STO 2.30",2.3,1,228.82499999999996,6735.35,"2025-10-21","16:15:02.6348859",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-21","14:45:08.9373784",6740.94,"1 Oct 21 6790 C BTO 0.05",-0.05,1,-6.175,6735.35,"2025-10-21","16:15:02.6346001",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-21","13:00:08.2919708",6737.62,"1 Oct 21 6795 C BTO 0.07",-0.07,1,-8.175,6735.35,"2025-10-21","16:15:02.6745023",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-21","13:00:08.2919708",6737.62,"1 Oct 21 6750 C STO 2.42",2.42,1,240.825,6735.35,"2025-10-21","16:15:02.6077987",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-20","14:45:23.6508762",6738.04,"1 Oct 20 6790 C BTO 0.03",-0.03,1,-4.175,6735.13,"2025-10-20","16:15:01.9039294",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-20","14:45:23.6508762",6738.04,"1 Oct 20 6745 C STO 1.23",1.23,1,121.825,6735.13,"2025-10-20","16:15:01.8716196",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-17","13:00:24.1097166",6642.13,"1 Oct 17 6730 C BTO 0.07",-0.07,1,6.214999999999999,6671.16,"2025-10-17","14:21:02.577452",0.15,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-17","13:00:24.1097166",6642.13,"1 Oct 17 6685 C STO 2.07",2.07,1,-224.785,6671.16,"2025-10-17","14:21:02.8045498",-4.3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-16","14:30:08.3997112",6605.4,"1 Oct 16 6655 C STO 1.87",1.87,1,185.825,6629.07,"2025-10-16","16:15:02.5194215",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-16","14:30:08.3997112",6605.4,"1 Oct 16 6700 C BTO 0.22",-0.22,1,-23.175,6629.07,"2025-10-16","16:15:02.4784724",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-16","13:00:08.822985",6656.05,"1 Oct 16 6750 C BTO 0.17",-0.17,1,-18.175,6629.07,"2025-10-16","16:15:02.5204958",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-16","13:00:08.822985",6656.05,"1 Oct 16 6705 C STO 1.82",1.82,1,180.825,6629.07,"2025-10-16","16:15:02.5687302",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-15","13:00:10.4891821",6663.4,"1 Oct 15 6700 C STO 1.62",1.62,1,160.825,6671.06,"2025-10-15","16:15:02.0489404",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-15","13:00:10.4891821",6663.4,"1 Oct 15 6745 C BTO 0.12",-0.12,1,-13.175,6671.06,"2025-10-15","16:15:02.163881",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-14","14:45:08.4798694",6669.83,"1 Oct 14 6725 C BTO 0.05",-0.05,1,-6.175,6644.31,"2025-10-14","16:15:02.4372344",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-14","14:45:08.4798694",6669.83,"1 Oct 14 6680 C STO 1.95",1.95,1,193.825,6644.31,"2025-10-14","16:15:02.4949006",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-14","14:30:09.4763543",6674.15,"1 Oct 14 6685 C STO 1.78",1.78,1,176.825,6644.31,"2025-10-14","16:15:02.4355968",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-14","14:30:09.4763543",6674.15,"1 Oct 14 6730 C BTO 0.03",-0.03,1,-4.175,6644.31,"2025-10-14","16:15:02.4457706",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-13","14:45:08.820987",6653.78,"1 Oct 13 6665 C STO 1.63",1.63,1,161.825,6654.72,"2025-10-13","16:15:02.2270111",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-13","14:45:08.820987",6653.78,"1 Oct 13 6710 C BTO 0.03",-0.03,1,-4.175,6654.72,"2025-10-13","16:15:02.2484666",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-10","14:45:15.0639338",6602.01,"1 Oct 10 6630 C STO 1.60",1.6,1,158.825,6552.51,"2025-10-10","16:15:02.6728034",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-10","14:45:15.0639338",6602.01,"1 Oct 10 6675 C BTO 0.15",-0.15,1,-16.175,6552.51,"2025-10-10","16:15:02.7570073",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-10","13:00:14.5550728",6613.68,"1 Oct 10 6710 C BTO 0.25",-0.25,1,-26.175,6552.51,"2025-10-10","16:15:02.7188997",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-10","13:00:14.5550728",6613.68,"1 Oct 10 6665 C STO 1.90",1.9,1,188.825,6552.51,"2025-10-10","16:15:02.6652299",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-09","14:45:14.2375222",6721.67,"1 Oct 9 6730 C STO 1.13",1.13,1,-123.78500000000001,6727.75,"2025-10-09","15:13:03.5610737",-2.35,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-09","14:45:14.2375222",6721.67,"1 Oct 9 6775 C BTO 0.03",-0.03,1,-4.175,6735.11,"2025-10-09","16:15:02.4846097",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-09","13:00:11.0016712",6721.04,"1 Oct 9 6740 C STO 1.52",1.52,1,150.825,6735.11,"2025-10-09","16:15:02.9693368",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-09","13:00:11.0016712",6721.04,"1 Oct 9 6785 C BTO 0.07",-0.07,1,-8.175,6735.11,"2025-10-09","16:15:02.5432798",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-08","14:45:10.2551572",6748.37,"1 Oct 8 6800 C BTO 0.03",-0.03,1,-4.175,6753.72,"2025-10-08","16:15:02.6099942",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-08","14:45:10.2551572",6748.37,"1 Oct 8 6755 C STO 1.03",1.03,1,-113.78499999999998,6753.6,"2025-10-08","15:21:03.3242521",-2.15,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-08","13:00:23.4050525",6751.03,"1 Oct 8 6805 C BTO 0.05",-0.05,1,-6.175,6753.72,"2025-10-08","16:15:02.2880162",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-08","13:00:23.4050525",6751.03,"1 Oct 8 6760 C STO 1.75",1.75,1,173.825,6753.72,"2025-10-08","16:15:02.5008975",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-07","13:00:09.925279",6707.23,"1 Oct 7 6770 C BTO 0.07",-0.07,1,1.2149999999999999,6716.61,"2025-10-07","13:12:02.3947121",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-07","13:00:09.925279",6707.23,"1 Oct 7 6725 C STO 1.92",1.92,1,-189.785,6716.61,"2025-10-07","13:12:02.5984741",-3.8,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-03","13:01:09.9913373",6742.22,"1 Oct 3 6750 C STO 2.55",2.55,1,253.82499999999996,6715.79,"2025-10-03","16:15:02.1123039",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-03","13:01:09.9913373",6742.22,"1 Oct 3 6795 C BTO 0.10",-0.1,1,-11.175,6715.79,"2025-10-03","16:15:02.1145753",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-01","13:00:08.8966432",6694.51,"1 Oct 1 6750 C BTO 0.07",-0.07,1,-3.7850000000000006,6700.09,"2025-10-01","13:08:03.046406",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-10-01","13:00:08.8966432",6694.51,"1 Oct 1 6705 C STO 1.72",1.72,1,-189.785,6700.09,"2025-10-01","13:08:03.3694147",-3.6,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-09-30","13:00:38.4297874",6653.03,"1 Sep 30 6670 C STO 1.92",1.92,1,-209.785,6662.15,"2025-09-30","14:13:02.7118734",-4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-09-30","13:00:38.4297874",6653.03,"1 Sep 30 6715 C BTO 0.07",-0.07,1,-3.7850000000000006,6662.15,"2025-09-30","14:13:02.4462992",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-09-29","13:00:08.5486358",6656.08,"1 Sep 29 6710 C BTO 0.07",-0.07,1,-8.175,6661.21,"2025-09-29","16:15:02.632972",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-09-29","13:00:08.5486358",6656.08,"1 Sep 29 6665 C STO 2.42",2.42,1,240.825,6661.21,"2025-09-29","16:15:02.6968809",0,"Expired"
